Determinant,MinA,Euler,A,B,C,0:00,0:01,0:02,0:03,0:01/23,0:02/13,0:03/12,1:00,1:01,1:02,1:03,1:01/23,1:02/13,1:03/12
-545,1,-440,1,-1+1w,-544,2486,2470,2486,2470,204,220,236,2470,2486,2470,2486,204,220,236
-546,1,-896,1,0,-546,4528,4528,4528,4528,448,448,448,4528,4528,4528,4528,448,448,448
-548,1,-544,1,0,-548,3072,3072,3072,3072,272,272,272,3072,3072,3072,3072,272,272,272
-550,1,-800,1,0,-550,4620,4620,4620,4620,400,400,400,4620,4620,4620,4620,400,400,400
-551,1,-560,1,0,-551,2822,2818,2822,2818,276,280,284,2818,2822,2818,2822,276,280,284
-551,1,-560,1,-1+1w,-550,2818,2822,2818,2822,284,280,276,2822,2818,2822,2818,284,280,276
-552,1,-704,1,0,-552,3696,3696,3696,3696,352,352,352,3696,3696,3696,3696,352,352,352
-552,3,-176,3,-2+1w,-183,620,620,620,620,88,88,88,620,620,620,620,88,88,88
-554,1,-556,1,0,-554,3408,3408,3408,3408,278,278,278,3408,3408,3408,3408,278,278,278
-555,1,-608,1,0,-555,3144,3128,3144,3128,288,304,320,3128,3144,3128,3144,288,304,320
-555,1,-608,1,-1+1w,-554,3128,3144,3128,3144,320,304,288,3144,3128,3144,3128,320,304,288
-557,1,-556,1,0,-557,2845,2834,2845,2834,267,278,289,2834,2845,2834,2845,267,278,289
-557,1,-556,1,-1+1w,-556,2834,2845,2834,2845,289,278,267,2845,2834,2845,2834,289,278,267
-558,1,-768,1,0,-558,4180,4180,4180,4180,384,384,384,4180,4180,4180,4180,384,384,384
-560,1,-512,1,0,-560,3102,3102,3102,3102,256,256,256,3102,3102,3102,3102,256,256,256
-561,1,-640,1,0,-561,3130,3140,3130,3140,330,320,310,3140,3130,3140,3130,330,320,310
-561,1,-640,1,-1+1w,-560,3140,3130,3140,3130,310,320,330,3130,3140,3130,3140,310,320,330
-561,3,-160,3,-2+1w,-186,496,502,496,502,86,80,74,502,496,502,496,86,80,74
-561,3,-160,3,-1+2w,-186,502,496,502,496,74,80,86,496,502,496,502,74,80,86
-562,1,-1120,1,0,-562,5526,5526,5526,5526,560,560,560,5526,5526,5526,5526,560,560,560
-563,1,-562,1,0,-563,2885,2878,2885,2878,274,281,288,2878,2885,2878,2885,274,281,288
-563,1,-562,1,-1+1w,-562,2878,2885,2878,2885,288,281,274,2885,2878,2885,2878,288,281,274
-564,1,-736,1,0,-564,3920,3920,3920,3920,368,368,368,3920,3920,3920,3920,368,368,368
-565,1,-896,1,0,-565,4040,4030,4040,4030,438,448,458,4030,4040,4030,4040,438,448,458
-565,1,-896,1,-1+1w,-564,4030,4040,4030,4040,458,448,438,4040,4030,4040,4030,458,448,438
-566,1,-568,1,0,-566,3504,3504,3504,3504,284,284,284,3504,3504,3504,3504,284,284,284
-568,1,-1120,1,0,-568,5280,5280,5280,5280,560,560,560,5280,5280,5280,5280,560,560,560
-569,1,-568,1,0,-569,2921,2902,2921,2902,265,284,303,2902,2921,2902,2921,265,284,303
-569,1,-568,1,-1+1w,-568,2902,2921,2902,2921,303,284,265,2921,2902,2921,2902,303,284,265
-570,1,-640,1,0,-570,3648,3648,3648,3648,320,320,320,3648,3648,3648,3648,320,320,320
-570,3,-160,3,-2+1w,-189,640,640,640,640,80,80,80,640,640,640,640,80,80,80
-572,1,-560,1,0,-572,3204,3204,3204,3204,280,280,280,3204,3204,3204,3204,280,280,280
-573,1,-760,1,0,-573,3594,3574,3594,3574,360,380,400,3574,3594,3574,3594,360,380,400
-573,1,-760,1,-1+1w,-572,3574,3594,3574,3594,400,380,360,3594,3574,3594,3574,400,380,360
-574,1,-1280,1,0,-574,5952,5952,5952,5952,640,640,640,5952,5952,5952,5952,640,640,640
-575,1,-440,1,0,-575,2576,2578,2576,2578,222,220,218,2578,2576,2578,2576,222,220,218
-575,1,-440,1,-1+1w,-574,2578,2576,2578,2576,218,220,222,2576,2578,2576,2578,218,220,222
-578,1,-544,1,0,-578,3516,3516,3516,3516,272,272,272,3516,3516,3516,3516,272,272,272
-580,1,-896,1,0,-580,4644,4644,4644,4644,448,448,448,4644,4644,4644,4644,448,448,448
-581,1,-656,1,0,-581,3162,3150,3162,3150,316,328,340,3150,3162,3150,3162,316,328,340
-581,1,-656,1,-1+1w,-580,3150,3162,3150,3162,340,328,316,3162,3150,3162,3150,340,328,316
-582,1,-784,1,0,-582,4460,4460,4460,4460,392,392,392,4460,4460,4460,4460,392,392,392
-583,1,-1040,1,0,-583,4488,4482,4488,4482,514,520,526,4482,4488,4482,4488,514,520,526
-583,1,-1040,1,-1+1w,-582,4482,4488,4482,4488,526,520,514,4488,4482,4488,4482,526,520,514
-584,1,-592,1,0,-584,3456,3456,3456,3456,296,296,296,3456,3456,3456,3456,296,296,296
-585,1,-672,1,0,-585,3286,3264,3286,3264,314,336,358,3264,3286,3264,3286,314,336,358
-585,1,-672,1,-1+1w,-584,3264,3286,3264,3286,358,336,314,3286,3264,3286,3264,358,336,314
-586,1,-1168,1,0,-586,5766,5766,5766,5766,584,584,584,5766,5766,5766,5766,584,584,584
-587,1,-586,1,0,-587,3003,3018,3003,3018,308,293,278,3018,3003,3018,3003,308,293,278
-587,1,-586,1,-1+1w,-586,3018,3003,3018,3003,278,293,308,3003,3018,3003,3018,278,293,308
-590,1,-464,1,0,-590,3228,3228,3228,3228,232,232,232,3228,3228,3228,3228,232,232,232
-591,1,-784,1,0,-591,3714,3730,3714,3730,408,392,376,3730,3714,3730,3714,408,392,376
-591,1,-784,1,-1+1w,-590,3730,3714,3730,3714,376,392,408,3714,3730,3714,3730,376,392,408
-593,1,-592,1,0,-593,3049,3056,3049,3056,303,296,289,3056,3049,3056,3049,303,296,289
-593,1,-592,1,-1+1w,-592,3056,3049,3056,3049,289,296,303,3049,3056,3049,3056,289,296,303
-594,1,-720,1,0,-594,4288,4288,4288,4288,360,360,360,4288,4288,4288,4288,360,360,360
-595,1,-1024,1,0,-595,4464,4470,4464,4470,518,512,506,4470,4464,4470,4464,518,512,506
-595,1,-1024,1,-1+1w,-594,4470,4464,4470,4464,506,512,518,4464,4470,4464,4470,506,512,518
-596,1,-592,1,0,-596,3384,3384,3384,3384,296,296,296,3384,3384,3384,3384,296,296,296
-598,1,-1232,1,0,-598,6000,6000,6000,6000,616,616,616,6000,6000,6000,6000,616,616,616
-599,1,-598,1,0,-599,3093,3084,3093,3084,290,299,308,3084,3093,3084,3093,290,299,308
-599,1,-598,1,-1+1w,-598,3084,3093,3084,3093,308,299,290,3093,3084,3093,3084,308,299,290
-600,1,-640,1,0,-600,3872,3872,3872,3872,320,320,320,3872,3872,3872,3872,320,320,320
-602,1,-704,1,0,-602,4032,4032,4032,4032,352,352,352,4032,4032,4032,4032,352,352,352
-605,1,-440,1,0,-605,2708,2716,2708,2716,228,220,212,2716,2708,2716,2708,228,220,212
-605,1,-440,1,-1+1w,-604,2716,2708,2716,2708,212,220,228,2708,2716,2708,2716,212,220,228
-606,1,-800,1,0,-606,4368,4368,4368,4368,400,400,400,4368,4368,4368,4368,400,400,400
-606,3,-200,3,-2+1w,-201,746,746,746,746,100,100,100,746,746,746,746,100,100,100
-608,1,-640,1,0,-608,3630,3630,3630,3630,320,320,320,3630,3630,3630,3630,320,320,320
-609,1,-896,1,0,-609,4056,4064,4056,4064,456,448,440,4064,4056,4064,4056,456,448,440
-609,1,-896,1,-1+1w,-608,4064,4056,4064,4056,440,448,456,4056,4064,4056,4064,440,448,456
-610,1,-992,1,0,-610,5454,5454,5454,5454,496,496,496,5454,5454,5454,5454,496,496,496
-611,1,-644,1,0,-611,3214,3218,3214,3218,326,322,318,3218,3214,3218,3214,326,322,318
-611,1,-644,1,-1+1w,-610,3218,3214,3218,3214,318,322,326,3214,3218,3214,3218,318,322,326
-612,1,-768,1,0,-612,4156,4156,4156,4156,384,384,384,4156,4156,4156,4156,384,384,384
-614,1,-616,1,0,-614,3840,3840,3840,3840,308,308,308,3840,3840,3840,3840,308,308,308
-615,1,-640,1,0,-615,3252,3240,3252,3240,308,320,332,3240,3252,3240,3252,308,320,332
-615,1,-640,1,-1+1w,-614,3240,3252,3240,3252,332,320,308,3252,3240,3252,3240,332,320,308
-615,3,-160,3,-2+1w,-204,536,528,536,528,72,80,88,528,536,528,536,72,80,88
-615,3,-160,3,-1+2w,-204,528,536,528,536,88,80,72,536,528,536,528,88,80,72
-616,1,-1280,1,0,-616,5970,5970,5970,5970,640,640,640,5970,5970,5970,5970,640,640,640
-617,1,-616,1,0,-617,3189,3192,3189,3192,311,308,305,3192,3189,3192,3189,311,308,305
-617,1,-616,1,-1+1w,-616,3192,3189,3192,3189,305,308,311,3189,3192,3189,3192,305,308,311
-618,1,-832,1,0,-618,4796,4796,4796,4796,416,416,416,4796,4796,4796,4796,416,416,416
-620,1,-512,1,0,-620,3144,3144,3144,3144,256,256,256,3144,3144,3144,3144,256,256,256
-621,1,-792,1,0,-621,3756,3770,3756,3770,410,396,382,3770,3756,3770,3756,410,396,382
-621,1,-792,1,-1+1w,-620,3770,3756,3770,3756,382,396,410,3756,3770,3756,3770,382,396,410
-622,1,-1240,1,0,-622,6186,6186,6186,6186,620,620,620,6186,6186,6186,6186,620,620,620
-623,1,-704,1,0,-623,3410,3418,3410,3418,360,352,344,3418,3410,3418,3410,360,352,344
-623,1,-704,1,-1+1w,-622,3418,3410,3418,3410,344,352,360,3410,3418,3410,3418,344,352,360
-626,1,-628,1,0,-626,3906,3906,3906,3906,314,314,314,3906,3906,3906,3906,314,314,314
-627,1,-800,1,0,-627,3900,3914,3900,3914,414,400,386,3914,3900,3914,3900,414,400,386
-627,1,-800,1,-1+1w,-626,3914,3900,3914,3900,386,400,414,3900,3914,3900,3914,386,400,414
-629,1,-608,1,0,-629,3226,3230,3226,3230,308,304,300,3230,3226,3230,3226,308,304,300
-629,1,-608,1,-1+1w,-628,3230,3226,3230,3226,300,304,308,3226,3230,3226,3230,300,304,308
-630,1,-768,1,0,-630,4448,4448,4448,4448,384,384,384,4448,4448,4448,4448,384,384,384
-632,1,-640,1,0,-632,3786,3786,3786,3786,320,320,320,3786,3786,3786,3786,320,320,320
-634,1,-1264,1,0,-634,6336,6336,6336,6336,632,632,632,6336,6336,6336,6336,632,632,632
-635,1,-512,1,0,-635,2946,2952,2946,2952,262,256,250,2952,2946,2952,2946,262,256,250
-635,1,-512,1,-1+1w,-634,2952,2946,2952,2946,250,256,262,2946,2952,2946,2952,250,256,262
-636,1,-832,1,0,-636,4496,4496,4496,4496,416,416,416,4496,4496,4496,4496,416,416,416
-638,1,-560,1,0,-638,3864,3864,3864,3864,280,280,280,3864,3864,3864,3864,280,280,280
-639,1,-840,1,0,-639,3956,3960,3956,3960,424,420,416,3960,3956,3960,3956,424,420,416
-639,1,-840,1,-1+1w,-638,3960,3956,3960,3956,416,420,424,3956,3960,3956,3960,416,420,424
-640,1,-1024,1,0,-640,5406,5406,5406,5406,512,512,512,5406,5406,5406,5406,512,512,512
-641,1,-640,1,0,-641,3339,3342,3339,3342,323,320,317,3342,3339,3342,3339,323,320,317
-641,1,-640,1,-1+1w,-640,3342,3339,3342,3339,317,320,323,3339,3342,3339,3342,317,320,323
-642,1,-848,1,0,-642,4656,4656,4656,4656,424,424,424,4656,4656,4656,4656,424,424,424
-642,3,-212,3,-2+1w,-213,800,800,800,800,106,106,106,800,800,800,800,106,106,106
-644,1,-704,1,0,-644,3948,3948,3948,3948,352,352,352,3948,3948,3948,3948,352,352,352
-645,1,-704,1,0,-645,3724,3724,3724,3724,352,352,352,3724,3724,3724,3724,352,352,352
-645,1,-704,1,-1+1w,-644,3724,3724,3724,3724,352,352,352,3724,3724,3724,3724,352,352,352
-646,1,-1280,1,0,-646,6456,6456,6456,6456,640,640,640,6456,6456,6456,6456,640,640,640
-647,1,-646,1,0,-647,3385,3362,3385,3362,300,323,346,3362,3385,3362,3385,300,323,346
-647,1,-646,1,-1+1w,-646,3362,3385,3362,3385,346,323,300,3385,3362,3385,3362,346,323,300
-648,1,-864,1,0,-648,4646,4646,4646,4646,432,432,432,4646,4646,4646,4646,432,432,432
-649,1,-1160,1,0,-649,5100,5094,5100,5094,574,580,586,5094,5100,5094,5100,574,580,586
-649,1,-1160,1,-1+1w,-648,5094,5100,5094,5100,586,580,574,5100,5094,5100,5094,586,580,574
-650,1,-560,1,0,-650,3618,3618,3618,3618,280,280,280,3618,3618,3618,3618,280,280,280
-653,1,-652,1,0,-653,3409,3428,3409,3428,345,326,307,3428,3409,3428,3409,345,326,307
-653,1,-652,1,-1+1w,-652,3428,3409,3428,3409,307,326,345,3409,3428,3409,3428,307,326,345
-654,1,-880,1,0,-654,5120,5120,5120,5120,440,440,440,5120,5120,5120,5120,440,440,440
-655,1,-1040,1,0,-655,4800,4788,4800,4788,508,520,532,4788,4800,4788,4800,508,520,532
-655,1,-1040,1,-1+1w,-654,4788,4800,4788,4800,532,520,508,4800,4788,4800,4788,532,520,508
-656,1,-640,1,0,-656,3858,3858,3858,3858,320,320,320,3858,3858,3858,3858,320,320,320
-658,1,-1472,1,0,-658,6996,6996,6996,6996,736,736,736,6996,6996,6996,6996,736,736,736
-659,1,-658,1,0,-659,3455,3442,3455,3442,316,329,342,3442,3455,3442,3455,316,329,342
-659,1,-658,1,-1+1w,-658,3442,3455,3442,3455,342,329,316,3455,3442,3455,3442,342,329,316
-660,1,-640,1,0,-660,3768,3768,3768,3768,320,320,320,3768,3768,3768,3768,320,320,320
-660,3,-160,3,-2+1w,-219,676,676,676,676,80,80,80,676,676,676,676,80,80,80
-662,1,-664,1,0,-662,4176,4176,4176,4176,332,332,332,4176,4176,4176,4176,332,332,332
-663,1,-896,1,0,-663,4288,4270,4288,4270,430,448,466,4270,4288,4270,4288,430,448,466
-663,1,-896,1,-1+1w,-662,4270,4288,4270,4288,466,448,430,4288,4270,4288,4270,466,448,430
-664,1,-1312,1,0,-664,6318,6318,6318,6318,656,656,656,6318,6318,6318,6318,656,656,656
-665,1,-640,1,0,-665,3354,3348,3354,3348,314,320,326,3348,3354,3348,3354,314,320,326
-665,1,-640,1,-1+1w,-664,3348,3354,3348,3354,326,320,314,3354,3348,3354,3348,326,320,314
-666,1,-912,1,0,-666,5092,5092,5092,5092,456,456,456,5092,5092,5092,5092,456,456,456
-667,1,-1232,1,0,-667,5336,5326,5336,5326,606,616,626,5326,5336,5326,5336,606,616,626
-667,1,-1232,1,-1+1w,-666,5326,5336,5326,5336,626,616,606,5336,5326,5336,5326,626,616,606
-668,1,-664,1,0,-668,3846,3846,3846,3846,332,332,332,3846,3846,3846,3846,332,332,332
-670,1,-1088,1,0,-670,6036,6036,6036,6036,544,544,544,6036,6036,6036,6036,544,544,544
-671,1,-620,1,0,-671,3420,3396,3420,3396,286,310,334,3396,3420,3396,3420,286,310,334
-671,1,-620,1,-1+1w,-670,3396,3420,3396,3420,334,310,286,3420,3396,3420,3396,334,310,286
-672,1,-1024,1,0,-672,5270,5270,5270,5270,512,512,512,5270,5270,5270,5270,512,512,512
-674,1,-676,1,0,-674,4230,4230,4230,4230,338,338,338,4230,4230,4230,4230,338,338,338
-677,1,-676,1,0,-677,3555,3564,3555,3564,347,338,329,3564,3555,3564,3555,347,338,329
-677,1,-676,1,-1+1w,-676,3564,3555,3564,3555,329,338,347,3555,3564,3555,3564,329,338,347
-678,1,-896,1,0,-678,4932,4932,4932,4932,448,448,448,4932,4932,4932,4932,448,448,448
-678,3,-224,3,-2+1w,-225,860,860,860,860,112,112,112,860,860,860,860,112,112,112
-680,1,-512,1,0,-680,3588,3588,3588,3588,256,256,256,3588,3588,3588,3588,256,256,256
-681,1,-904,1,0,-681,4394,4382,4394,4382,440,452,464,4382,4394,4382,4394,440,452,464
-681,1,-904,1,-1+1w,-680,4382,4394,4382,4394,464,452,440,4394,4382,4394,4382,464,452,440
-682,1,-1280,1,0,-682,6732,6732,6732,6732,640,640,640,6732,6732,6732,6732,640,640,640
-683,1,-682,1,0,-683,3585,3594,3585,3594,350,341,332,3594,3585,3594,3585,350,341,332
-683,1,-682,1,-1+1w,-682,3594,3585,3594,3585,332,341,350,3585,3594,3585,3594,332,341,350
-685,1,-1088,1,0,-685,5044,5060,5044,5060,560,544,528,5060,5044,5060,5044,560,544,528
-685,1,-1088,1,-1+1w,-684,5060,5044,5060,5044,528,544,560,5044,5060,5044,5060,528,544,560
-686,1,-784,1,0,-686,4620,4620,4620,4620,392,392,392,4620,4620,4620,4620,392,392,392
-689,1,-728,1,0,-689,3704,3700,3704,3700,360,364,368,3700,3704,3700,3704,360,364,368
-689,1,-728,1,-1+1w,-688,3700,3704,3700,3704,368,364,360,3704,3700,3704,3700,368,364,360
-690,1,-704,1,0,-690,4804,4804,4804,4804,352,352,352,4804,4804,4804,4804,352,352,352
-692,1,-688,1,0,-692,4032,4032,4032,4032,344,344,344,4032,4032,4032,4032,344,344,344
-693,1,-960,1,0,-693,4482,4492,4482,4492,490,480,470,4492,4482,4492,4482,490,480,470
-693,1,-960,1,-1+1w,-692,4492,4482,4492,4482,470,480,490,4482,4492,4482,4492,470,480,490
-694,1,-1384,1,0,-694,7044,7044,7044,7044,692,692,692,7044,7044,7044,7044,692,692,692
-695,1,-560,1,0,-695,3270,3276,3270,3276,286,280,274,3276,3270,3276,3270,286,280,274
-695,1,-560,1,-1+1w,-694,3276,3270,3276,3270,274,280,286,3270,3276,3270,3276,274,280,286
-696,1,-896,1,0,-696,4848,4848,4848,4848,448,448,448,4848,4848,4848,4848,448,448,448
-696,3,-224,3,-2+1w,-231,818,818,818,818,112,112,112,818,818,818,818,112,112,112
-697,1,-1280,1,0,-697,5596,5606,5596,5606,650,640,630,5606,5596,5606,5596,650,640,630
-697,1,-1280,1,-1+1w,-696,5606,5596,5606,5596,630,640,650,5596,5606,5596,5606,630,640,650
-698,1,-700,1,0,-698,4428,4428,4428,4428,350,350,350,4428,4428,4428,4428,350,350,350
-699,1,-928,1,0,-699,4506,4522,4506,4522,480,464,448,4522,4506,4522,4506,480,464,448
-699,1,-928,1,-1+1w,-698,4522,4506,4522,4506,448,464,480,4506,4522,4506,4522,448,464,480
-701,1,-700,1,0,-701,3685,3704,3685,3704,369,350,331,3704,3685,3704,3685,369,350,331
-701,1,-700,1,-1+1w,-700,3704,3685,3704,3685,331,350,369,3685,3704,3685,3704,331,350,369
-702,1,-1008,1,0,-702,5476,5476,5476,5476,504,504,504,5476,5476,5476,5476,504,504,504
-704,1,-640,1,0,-704,4074,4074,4074,4074,320,320,320,4074,4074,4074,4074,320,320,320
-705,1,-736,1,0,-705,3788,3796,3788,3796,376,368,360,3796,3788,3796,3788,376,368,360
-705,1,-736,1,-1+1w,-704,3796,3788,3796,3788,360,368,376,3788,3796,3788,3796,360,368,376
-705,3,-184,3,-2+1w,-234,628,634,628,634,98,92,86,634,628,634,628,98,92,86
-705,3,-184,3,-1+2w,-234,634,628,634,628,86,92,98,628,634,628,634,86,92,98
-706,1,-1408,1,0,-706,7176,7176,7176,7176,704,704,704,7176,7176,7176,7176,704,704,704
-707,1,-800,1,0,-707,3958,3962,3958,3962,404,400,396,3962,3958,3962,3958,404,400,396
-707,1,-800,1,-1+1w,-706,3962,3958,3962,3958,396,400,404,3958,3962,3958,3962,396,400,404
-708,1,-928,1,0,-708,5096,5096,5096,5096,464,464,464,5096,5096,5096,5096,464,464,464
-710,1,-560,1,0,-710,3972,3972,3972,3972,280,280,280,3972,3972,3972,3972,280,280,280
-712,1,-1408,1,0,-712,6858,6858,6858,6858,704,704,704,6858,6858,6858,6858,704,704,704
-713,1,-704,1,0,-713,3756,3738,3756,3738,334,352,370,3738,3756,3738,3756,334,352,370
-713,1,-704,1,-1+1w,-712,3738,3756,3738,3756,370,352,334,3756,3738,3756,3738,370,352,334
-714,1,-1024,1,0,-714,5532,5532,5532,5532,512,512,512,5532,5532,5532,5532,512,512,512
-714,3,-256,3,-2+1w,-237,928,928,928,928,128,128,128,928,928,928,928,128,128,128
-715,1,-1120,1,0,-715,5264,5278,5264,5278,574,560,546,5278,5264,5278,5264,574,560,546
-715,1,-1120,1,-1+1w,-714,5278,5264,5278,5264,546,560,574,5264,5278,5264,5278,546,560,574
-716,1,-712,1,0,-716,4158,4158,4158,4158,356,356,356,4158,4158,4158,4158,356,356,356
-717,1,-952,1,0,-717,4646,4634,4646,4634,464,476,488,4634,4646,4634,4646,464,476,488
-717,1,-952,1,-1+1w,-716,4634,4646,4634,4646,488,476,464,4646,4634,4646,4634,488,476,464
-718,1,-1432,1,0,-718,7302,7302,7302,7302,716,716,716,7302,7302,7302,7302,716,716,716
-719,1,-718,1,0,-719,3783,3810,3783,3810,386,359,332,3810,3783,3810,3783,386,359,332
-719,1,-718,1,-1+1w,-718,3810,3783,3810,3783,332,359,386,3783,3810,3783,3810,332,359,386
-720,1,-768,1,0,-720,4606,4606,4606,4606,384,384,384,4606,4606,4606,4606,384,384,384
-722,1,-760,1,0,-722,4644,4644,4644,4644,380,380,380,4644,4644,4644,4644,380,380,380
-725,1,-560,1,0,-725,3358,3356,3358,3356,278,280,282,3356,3358,3356,3358,278,280,282
-725,1,-560,1,-1+1w,-724,3356,3358,3356,3358,282,280,278,3358,3356,3358,3356,282,280,278
-726,1,-880,1,0,-726,5552,5552,5552,5552,440,440,440,5552,5552,5552,5552,440,440,440
-728,1,-896,1,0,-728,4878,4878,4878,4878,448,448,448,4878,4878,4878,4878,448,448,448
-730,1,-1184,1,0,-730,6690,6690,6690,6690,592,592,592,6690,6690,6690,6690,592,592,592
-731,1,-704,1,0,-731,3850,3848,3850,3848,350,352,354,3848,3850,3848,3850,350,352,354
-731,1,-704,1,-1+1w,-730,3848,3850,3848,3850,354,352,350,3850,3848,3850,3848,354,352,350
-734,1,-736,1,0,-734,4692,4692,4692,4692,368,368,368,4692,4692,4692,4692,368,368,368
-735,1,-896,1,0,-735,4548,4556,4548,4556,456,448,440,4556,4548,4556,4548,456,448,440
-735,1,-896,1,-1+1w,-734,4556,4548,4556,4548,440,448,456,4548,4556,4548,4556,440,448,456
-736,1,-1408,1,0,-736,7032,7032,7032,7032,704,704,704,7032,7032,7032,7032,704,704,704
-737,1,-680,1,0,-737,3800,3802,3800,3802,342,340,338,3802,3800,3802,3800,342,340,338
-737,1,-680,1,-1+1w,-736,3802,3800,3802,3800,338,340,342,3800,3802,3800,3802,338,340,342
-738,1,-960,1,0,-738,5584,5584,5584,5584,480,480,480,5584,5584,5584,5584,480,480,480
-740,1,-608,1,0,-740,3840,3840,3840,3840,304,304,304,3840,3840,3840,3840,304,304,304
-742,1,-1664,1,0,-742,8052,8052,8052,8052,832,832,832,8052,8052,8052,8052,832,832,832
-743,1,-742,1,0,-743,3967,3968,3967,3968,372,371,370,3968,3967,3968,3967,372,371,370
-743,1,-742,1,-1+1w,-742,3968,3967,3968,3967,370,371,372,3967,3968,3967,3968,370,371,372
-744,1,-1024,1,0,-744,5672,5672,5672,5672,512,512,512,5672,5672,5672,5672,512,512,512
-745,1,-1184,1,0,-745,5582,5566,5582,5566,576,592,608,5566,5582,5566,5582,576,592,608
-745,1,-1184,1,-1+1w,-744,5566,5582,5566,5582,608,592,576,5582,5566,5582,5566,608,592,576
-746,1,-748,1,0,-746,4782,4782,4782,4782,374,374,374,4782,4782,4782,4782,374,374,374
-747,1,-984,1,0,-747,4748,4740,4748,4740,484,492,500,4740,4748,4740,4748,484,492,500
-747,1,-984,1,-1+1w,-746,4740,4748,4740,4748,500,492,484,4748,4740,4748,4740,500,492,484
-748,1,-1280,1,0,-748,6672,6672,6672,6672,640,640,640,6672,6672,6672,6672,640,640,640
-749,1,-848,1,0,-749,4238,4234,4238,4234,420,424,428,4234,4238,4234,4238,420,424,428
-749,1,-848,1,-1+1w,-748,4234,4238,4234,4238,428,424,420,4238,4234,4238,4234,428,424,420
-750,1,-800,1,0,-750,4836,4836,4836,4836,400,400,400,4836,4836,4836,4836,400,400,400
-750,3,-200,3,-2+1w,-249,878,878,878,878,100,100,100,878,878,878,878,100,100,100
-752,1,-736,1,0,-752,4500,4500,4500,4500,368,368,368,4500,4500,4500,4500,368,368,368
-753,1,-1000,1,0,-753,4926,4918,4926,4918,492,500,508,4918,4926,4918,4926,492,500,508
-753,1,-1000,1,-1+1w,-752,4918,4926,4918,4926,508,500,492,4926,4918,4926,4918,508,500,492
-754,1,-1568,1,0,-754,7842,7842,7842,7842,784,784,784,7842,7842,7842,7842,784,784,784
-755,1,-608,1,0,-755,3602,3580,3602,3580,282,304,326,3580,3602,3580,3602,282,304,326
-755,1,-608,1,-1+1w,-754,3580,3602,3580,3602,326,304,282,3602,3580,3602,3580,326,304,282
-758,1,-760,1,0,-758,4848,4848,4848,4848,380,380,380,4848,4848,4848,4848,380,380,380
-759,1,-880,1,0,-759,4456,4454,4456,4454,438,440,442,4454,4456,4454,4456,438,440,442
-759,1,-880,1,-1+1w,-758,4454,4456,4454,4456,442,440,438,4456,4454,4456,4454,442,440,438
-759,3,-220,3,-2+1w,-252,730,730,730,730,110,110,110,730,730,730,730,110,110,110
-759,3,-220,3,-1+2w,-252,730,730,730,730,110,110,110,730,730,730,730,110,110,110
-760,1,-1280,1,0,-760,6708,6708,6708,6708,640,640,640,6708,6708,6708,6708,640,640,640
-761,1,-760,1,0,-761,4067,4048,4067,4048,361,380,399,4048,4067,4048,4067,361,380,399
-761,1,-760,1,-1+1w,-760,4048,4067,4048,4067,399,380,361,4067,4048,4067,4048,399,380,361
-762,1,-1024,1,0,-762,6056,6056,6056,6056,512,512,512,6056,6056,6056,6056,512,512,512
-764,1,-760,1,0,-764,4482,4482,4482,4482,380,380,380,4482,4482,4482,4482,380,380,380
-765,1,-768,1,0,-765,4250,4256,4250,4256,390,384,378,4256,4250,4256,4250,390,384,378
-765,1,-768,1,-1+1w,-764,4256,4250,4256,4250,378,384,390,4250,4256,4250,4256,378,384,390
-766,1,-1528,1,0,-766,7866,7866,7866,7866,764,764,764,7866,7866,7866,7866,764,764,764
-767,1,-812,1,0,-767,4176,4182,4176,4182,412,406,400,4182,4176,4182,4176,412,406,400
-767,1,-812,1,-1+1w,-766,4182,4176,4182,4176,400,406,412,4176,4182,4176,4182,400,406,412
-770,1,-640,1,0,-770,4512,4512,4512,4512,320,320,320,4512,4512,4512,4512,320,320,320
-771,1,-1024,1,0,-771,5066,5066,5066,5066,512,512,512,5066,5066,5066,5066,512,512,512
-771,1,-1024,1,-1+1w,-770,5066,5066,5066,5066,512,512,512,5066,5066,5066,5066,512,512,512
-773,1,-772,1,0,-773,4139,4132,4139,4132,379,386,393,4132,4139,4132,4139,379,386,393
-773,1,-772,1,-1+1w,-772,4132,4139,4132,4139,393,386,379,4139,4132,4139,4132,393,386,379
-774,1,-1056,1,0,-774,6040,6040,6040,6040,528,528,528,6040,6040,6040,6040,528,528,528
-776,1,-784,1,0,-776,4788,4788,4788,4788,392,392,392,4788,4788,4788,4788,392,392,392
-778,1,-1552,1,0,-778,8022,8022,8022,8022,776,776,776,8022,8022,8022,8022,776,776,776
-779,1,-800,1,0,-779,4210,4214,4210,4214,404,400,396,4214,4210,4214,4210,404,400,396
-779,1,-800,1,-1+1w,-778,4214,4210,4214,4210,396,400,404,4210,4214,4210,4214,396,400,404
-780,1,-896,1,0,-780,5200,5200,5200,5200,448,448,448,5200,5200,5200,5200,448,448,448
-781,1,-1400,1,0,-781,6344,6334,6344,6334,690,700,710,6334,6344,6334,6344,690,700,710
-781,1,-1400,1,-1+1w,-780,6334,6344,6334,6344,710,700,690,6344,6334,6344,6334,710,700,690
-782,1,-704,1,0,-782,4896,4896,4896,4896,352,352,352,4896,4896,4896,4896,352,352,352
-783,1,-1008,1,0,-783,4970,4950,4970,4950,484,504,524,4950,4970,4950,4970,484,504,524
