Determinant,MinA,Euler,A,B,C,0:00,0:01,0:02,0:03,0:01/23,0:02/13,0:03/12,1:00,1:01,1:02,1:03,1:01/23,1:02/13,1:03/12
-209,1,-200,1,0,-209,888,894,888,894,106,100,94,894,888,894,888,106,100,94
-209,1,-200,1,-1+1w,-208,894,888,894,888,94,100,106,888,894,888,894,94,100,106
-210,1,-256,1,0,-210,1224,1224,1224,1224,128,128,128,1224,1224,1224,1224,128,128,128
-210,3,-64,3,-2+1w,-69,196,196,196,196,32,32,32,196,196,196,196,32,32,32
-212,1,-208,1,0,-212,1032,1032,1032,1032,104,104,104,1032,1032,1032,1032,104,104,104
-213,1,-280,1,0,-213,1110,1114,1110,1114,144,140,136,1114,1110,1114,1110,144,140,136
-213,1,-280,1,-1+1w,-212,1114,1110,1114,1110,136,140,144,1110,1114,1110,1114,136,140,144
-214,1,-424,1,0,-214,1776,1776,1776,1776,212,212,212,1776,1776,1776,1776,212,212,212
-215,1,-176,1,0,-215,846,852,846,852,94,88,82,852,846,852,846,94,88,82
-215,1,-176,1,-1+1w,-214,852,846,852,846,82,88,94,846,852,846,852,82,88,94
-216,1,-288,1,0,-216,1298,1298,1298,1298,144,144,144,1298,1298,1298,1298,144,144,144
-218,1,-220,1,0,-218,1188,1188,1188,1188,110,110,110,1188,1188,1188,1188,110,110,110
-220,1,-320,1,0,-220,1488,1488,1488,1488,160,160,160,1488,1488,1488,1488,160,160,160
-221,1,-224,1,0,-221,978,978,978,978,112,112,112,978,978,978,978,112,112,112
-221,1,-224,1,-1+1w,-220,978,978,978,978,112,112,112,978,978,978,978,112,112,112
-222,1,-304,1,0,-222,1484,1484,1484,1484,152,152,152,1484,1484,1484,1484,152,152,152
-224,1,-256,1,0,-224,1212,1212,1212,1212,128,128,128,1212,1212,1212,1212,128,128,128
-226,1,-448,1,0,-226,1902,1902,1902,1902,224,224,224,1902,1902,1902,1902,224,224,224
-227,1,-226,1,0,-227,1005,996,1005,996,104,113,122,996,1005,996,1005,104,113,122
-227,1,-226,1,-1+1w,-226,996,1005,996,1005,122,113,104,1005,996,1005,996,122,113,104
-230,1,-176,1,0,-230,1128,1128,1128,1128,88,88,88,1128,1128,1128,1128,88,88,88
-231,1,-320,1,0,-231,1268,1266,1268,1266,158,160,162,1266,1268,1266,1268,158,160,162
-231,1,-320,1,-1+1w,-230,1266,1268,1266,1268,162,160,158,1268,1266,1268,1266,162,160,158
-232,1,-448,1,0,-232,1836,1836,1836,1836,224,224,224,1836,1836,1836,1836,224,224,224
-233,1,-232,1,0,-233,1029,1038,1029,1038,125,116,107,1038,1029,1038,1029,125,116,107
-233,1,-232,1,-1+1w,-232,1038,1029,1038,1029,107,116,125,1029,1038,1029,1038,107,116,125
-234,1,-336,1,0,-234,1552,1552,1552,1552,168,168,168,1552,1552,1552,1552,168,168,168
-235,1,-368,1,0,-235,1422,1416,1422,1416,178,184,190,1416,1422,1416,1422,178,184,190
-235,1,-368,1,-1+1w,-234,1416,1422,1416,1422,190,184,178,1422,1416,1422,1416,190,184,178
-236,1,-232,1,0,-236,1170,1170,1170,1170,116,116,116,1170,1170,1170,1170,116,116,116
-238,1,-512,1,0,-238,2088,2088,2088,2088,256,256,256,2088,2088,2088,2088,256,256,256
-239,1,-238,1,0,-239,1065,1050,1065,1050,104,119,134,1050,1065,1050,1065,104,119,134
-239,1,-238,1,-1+1w,-238,1050,1065,1050,1065,134,119,104,1065,1050,1065,1050,134,119,104
-240,1,-256,1,0,-240,1358,1358,1358,1358,128,128,128,1358,1358,1358,1358,128,128,128
-242,1,-220,1,0,-242,1290,1290,1290,1290,110,110,110,1290,1290,1290,1290,110,110,110
-245,1,-224,1,0,-245,1042,1040,1042,1040,110,112,114,1040,1042,1040,1042,110,112,114
-245,1,-224,1,-1+1w,-244,1040,1042,1040,1042,114,112,110,1042,1040,1042,1040,114,112,110
-246,1,-320,1,0,-246,1536,1536,1536,1536,160,160,160,1536,1536,1536,1536,160,160,160
-246,3,-80,3,-2+1w,-81,248,248,248,248,40,40,40,248,248,248,248,40,40,40
-248,1,-256,1,0,-248,1314,1314,1314,1314,128,128,128,1314,1314,1314,1314,128,128,128
-249,1,-328,1,0,-249,1350,1354,1350,1354,168,164,160,1354,1350,1354,1350,168,164,160
-249,1,-328,1,-1+1w,-248,1354,1350,1354,1350,160,164,168,1350,1354,1350,1354,160,164,168
-250,1,-400,1,0,-250,1926,1926,1926,1926,200,200,200,1926,1926,1926,1926,200,200,200
-251,1,-250,1,0,-251,1129,1124,1129,1124,120,125,130,1124,1129,1124,1129,120,125,130
-251,1,-250,1,-1+1w,-250,1124,1129,1124,1129,130,125,120,1129,1124,1129,1124,130,125,120
-253,1,-440,1,0,-253,1652,1654,1652,1654,222,220,218,1654,1652,1654,1652,222,220,218
-253,1,-440,1,-1+1w,-252,1654,1652,1654,1652,218,220,222,1652,1654,1652,1654,218,220,222
-254,1,-256,1,0,-254,1416,1416,1416,1416,128,128,128,1416,1416,1416,1416,128,128,128
-255,1,-256,1,0,-255,1156,1160,1156,1160,132,128,124,1160,1156,1160,1156,132,128,124
-255,1,-256,1,-1+1w,-254,1160,1156,1160,1156,124,128,132,1156,1160,1156,1160,124,128,132
-255,3,-64,3,-2+1w,-84,176,174,176,174,30,32,34,174,176,174,176,30,32,34
-255,3,-64,3,-1+2w,-84,174,176,174,176,34,32,30,176,174,176,174,34,32,30
-257,1,-256,1,0,-257,1151,1162,1151,1162,139,128,117,1162,1151,1162,1151,139,128,117
-257,1,-256,1,-1+1w,-256,1162,1151,1162,1151,117,128,139,1151,1162,1151,1162,117,128,139
-258,1,-352,1,0,-258,1772,1772,1772,1772,176,176,176,1772,1772,1772,1772,176,176,176
-260,1,-224,1,0,-260,1200,1200,1200,1200,112,112,112,1200,1200,1200,1200,112,112,112
-261,1,-336,1,0,-261,1372,1372,1372,1372,168,168,168,1372,1372,1372,1372,168,168,168
-261,1,-336,1,-1+1w,-260,1372,1372,1372,1372,168,168,168,1372,1372,1372,1372,168,168,168
-262,1,-520,1,0,-262,2268,2268,2268,2268,260,260,260,2268,2268,2268,2268,260,260,260
-263,1,-262,1,0,-263,1177,1196,1177,1196,150,131,112,1196,1177,1196,1177,150,131,112
-263,1,-262,1,-1+1w,-262,1196,1177,1196,1177,112,131,150,1177,1196,1177,1196,112,131,150
-264,1,-320,1,0,-264,1548,1548,1548,1548,160,160,160,1548,1548,1548,1548,160,160,160
-264,3,-80,3,-2+1w,-87,242,242,242,242,40,40,40,242,242,242,242,40,40,40
-265,1,-416,1,0,-265,1640,1636,1640,1636,204,208,212,1636,1640,1636,1640,204,208,212
-265,1,-416,1,-1+1w,-264,1636,1640,1636,1640,212,208,204,1640,1636,1640,1636,212,208,204
-266,1,-320,1,0,-266,1584,1584,1584,1584,160,160,160,1584,1584,1584,1584,160,160,160
-267,1,-352,1,0,-267,1450,1458,1450,1458,184,176,168,1458,1450,1458,1450,184,176,168
-267,1,-352,1,-1+1w,-266,1458,1450,1458,1450,168,176,184,1450,1458,1450,1458,168,176,184
-269,1,-268,1,0,-269,1213,1208,1213,1208,129,134,139,1208,1213,1208,1213,129,134,139
-269,1,-268,1,-1+1w,-268,1208,1213,1208,1213,139,134,129,1213,1208,1213,1208,139,134,129
-270,1,-288,1,0,-270,1600,1600,1600,1600,144,144,144,1600,1600,1600,1600,144,144,144
-272,1,-256,1,0,-272,1410,1410,1410,1410,128,128,128,1410,1410,1410,1410,128,128,128
-274,1,-544,1,0,-274,2388,2388,2388,2388,272,272,272,2388,2388,2388,2388,272,272,272
-275,1,-200,1,0,-275,1092,1098,1092,1098,106,100,94,1098,1092,1098,1092,106,100,94
-275,1,-200,1,-1+1w,-274,1098,1092,1098,1092,94,100,106,1092,1098,1092,1098,94,100,106
-276,1,-352,1,0,-276,1712,1712,1712,1712,176,176,176,1712,1712,1712,1712,176,176,176
-278,1,-280,1,0,-278,1572,1572,1572,1572,140,140,140,1572,1572,1572,1572,140,140,140
-280,1,-512,1,0,-280,2214,2214,2214,2214,256,256,256,2214,2214,2214,2214,256,256,256
-281,1,-280,1,0,-281,1289,1282,1289,1282,133,140,147,1282,1289,1282,1289,133,140,147
-281,1,-280,1,-1+1w,-280,1282,1289,1282,1289,147,140,133,1289,1282,1289,1282,147,140,133
-282,1,-368,1,0,-282,1812,1812,1812,1812,184,184,184,1812,1812,1812,1812,184,184,184
-282,3,-92,3,-2+1w,-93,290,290,290,290,46,46,46,290,290,290,290,46,46,46
-284,1,-280,1,0,-284,1458,1458,1458,1458,140,140,140,1458,1458,1458,1458,140,140,140
-285,1,-320,1,0,-285,1464,1448,1464,1448,144,160,176,1448,1464,1448,1464,144,160,176
-285,1,-320,1,-1+1w,-284,1448,1464,1448,1464,176,160,144,1464,1448,1464,1448,176,160,144
-286,1,-560,1,0,-286,2484,2484,2484,2484,280,280,280,2484,2484,2484,2484,280,280,280
-287,1,-320,1,0,-287,1390,1382,1390,1382,152,160,168,1382,1390,1382,1390,152,160,168
-287,1,-320,1,-1+1w,-286,1382,1390,1382,1390,168,160,152,1390,1382,1390,1382,168,160,152
-288,1,-384,1,0,-288,1814,1814,1814,1814,192,192,192,1814,1814,1814,1814,192,192,192
-290,1,-224,1,0,-290,1446,1446,1446,1446,112,112,112,1446,1446,1446,1446,112,112,112
-293,1,-292,1,0,-293,1353,1344,1353,1344,137,146,155,1344,1353,1344,1353,137,146,155
-293,1,-292,1,-1+1w,-292,1344,1353,1344,1353,155,146,137,1353,1344,1353,1344,155,146,137
-294,1,-448,1,0,-294,2156,2156,2156,2156,224,224,224,2156,2156,2156,2156,224,224,224
-295,1,-464,1,0,-295,1864,1868,1864,1868,236,232,228,1868,1864,1868,1864,236,232,228
-295,1,-464,1,-1+1w,-294,1868,1864,1868,1864,228,232,236,1864,1868,1864,1868,228,232,236
-296,1,-304,1,0,-296,1596,1596,1596,1596,152,152,152,1596,1596,1596,1596,152,152,152
-297,1,-360,1,0,-297,1564,1558,1564,1558,174,180,186,1558,1564,1558,1564,174,180,186
-297,1,-360,1,-1+1w,-296,1558,1564,1558,1564,186,180,174,1564,1558,1564,1558,186,180,174
-298,1,-592,1,0,-298,2616,2616,2616,2616,296,296,296,2616,2616,2616,2616,296,296,296
-299,1,-308,1,0,-299,1392,1392,1392,1392,154,154,154,1392,1392,1392,1392,154,154,154
-299,1,-308,1,-1+1w,-298,1392,1392,1392,1392,154,154,154,1392,1392,1392,1392,154,154,154
-302,1,-304,1,0,-302,1716,1716,1716,1716,152,152,152,1716,1716,1716,1716,152,152,152
-303,1,-400,1,0,-303,1702,1698,1702,1698,196,200,204,1698,1702,1698,1702,196,200,204
-303,1,-400,1,-1+1w,-302,1698,1702,1698,1702,204,200,196,1702,1698,1702,1698,204,200,196
-305,1,-248,1,0,-305,1276,1286,1276,1286,134,124,114,1286,1276,1286,1276,134,124,114
-305,1,-248,1,-1+1w,-304,1286,1276,1286,1276,114,124,134,1276,1286,1276,1286,114,124,134
-306,1,-384,1,0,-306,2032,2032,2032,2032,192,192,192,2032,2032,2032,2032,192,192,192
-308,1,-320,1,0,-308,1656,1656,1656,1656,160,160,160,1656,1656,1656,1656,160,160,160
-310,1,-512,1,0,-310,2520,2520,2520,2520,256,256,256,2520,2520,2520,2520,256,256,256
-311,1,-310,1,0,-311,1449,1446,1449,1446,152,155,158,1446,1449,1446,1449,152,155,158
-311,1,-310,1,-1+1w,-310,1446,1449,1446,1449,158,155,152,1449,1446,1449,1446,158,155,152
-312,1,-448,1,0,-312,2120,2120,2120,2120,224,224,224,2120,2120,2120,2120,224,224,224
-314,1,-316,1,0,-314,1806,1806,1806,1806,158,158,158,1806,1806,1806,1806,158,158,158
-315,1,-384,1,0,-315,1660,1650,1660,1650,182,192,202,1650,1660,1650,1660,182,192,202
-315,1,-384,1,-1+1w,-314,1650,1660,1650,1660,202,192,182,1660,1650,1660,1650,202,192,182
-317,1,-316,1,0,-317,1475,1486,1475,1486,169,158,147,1486,1475,1486,1475,169,158,147
-317,1,-316,1,-1+1w,-316,1486,1475,1486,1475,147,158,169,1475,1486,1475,1486,147,158,169
-318,1,-416,1,0,-318,2076,2076,2076,2076,208,208,208,2076,2076,2076,2076,208,208,208
-318,3,-104,3,-2+1w,-105,338,338,338,338,52,52,52,338,338,338,338,52,52,52
-319,1,-560,1,0,-319,2182,2186,2182,2186,284,280,276,2186,2182,2186,2182,284,280,276
-319,1,-560,1,-1+1w,-318,2186,2182,2186,2182,276,280,284,2182,2186,2182,2186,276,280,284
-320,1,-256,1,0,-320,1536,1536,1536,1536,128,128,128,1536,1536,1536,1536,128,128,128
-321,1,-424,1,0,-321,1810,1818,1810,1818,220,212,204,1818,1810,1818,1810,220,212,204
-321,1,-424,1,-1+1w,-320,1818,1810,1818,1810,204,212,220,1810,1818,1810,1818,204,212,220
-322,1,-704,1,0,-322,3012,3012,3012,3012,352,352,352,3012,3012,3012,3012,352,352,352
-323,1,-320,1,0,-323,1494,1500,1494,1500,166,160,154,1500,1494,1500,1494,166,160,154
-323,1,-320,1,-1+1w,-322,1500,1494,1500,1494,154,160,166,1494,1500,1494,1500,154,160,166
-326,1,-328,1,0,-326,1872,1872,1872,1872,164,164,164,1872,1872,1872,1872,164,164,164
-328,1,-640,1,0,-328,2766,2766,2766,2766,320,320,320,2766,2766,2766,2766,320,320,320
-329,1,-368,1,0,-329,1618,1622,1618,1622,188,184,180,1622,1618,1622,1618,188,184,180
-329,1,-368,1,-1+1w,-328,1622,1618,1622,1618,180,184,188,1618,1622,1618,1622,180,184,188
-330,1,-320,1,0,-330,2044,2044,2044,2044,160,160,160,2044,2044,2044,2044,160,160,160
-332,1,-328,1,0,-332,1734,1734,1734,1734,164,164,164,1734,1734,1734,1734,164,164,164
-334,1,-664,1,0,-334,3006,3006,3006,3006,332,332,332,3006,3006,3006,3006,332,332,332
-335,1,-272,1,0,-335,1430,1420,1430,1420,126,136,146,1420,1430,1420,1430,126,136,146
-335,1,-272,1,-1+1w,-334,1420,1430,1420,1430,146,136,126,1430,1420,1430,1420,146,136,126
-338,1,-364,1,0,-338,1998,1998,1998,1998,182,182,182,1998,1998,1998,1998,182,182,182
-339,1,-448,1,0,-339,1938,1942,1938,1942,228,224,220,1942,1938,1942,1938,228,224,220
-339,1,-448,1,-1+1w,-338,1942,1938,1942,1938,220,224,228,1938,1942,1938,1942,220,224,228
-340,1,-512,1,0,-340,2496,2496,2496,2496,256,256,256,2496,2496,2496,2496,256,256,256
-341,1,-320,1,0,-341,1576,1586,1576,1586,170,160,150,1586,1576,1586,1576,170,160,150
-341,1,-320,1,-1+1w,-340,1586,1576,1586,1576,150,160,170,1576,1586,1576,1586,150,160,170
-342,1,-480,1,0,-342,2392,2392,2392,2392,240,240,240,2392,2392,2392,2392,240,240,240
-344,1,-352,1,0,-344,1902,1902,1902,1902,176,176,176,1902,1902,1902,1902,176,176,176
-345,1,-352,1,0,-345,1664,1660,1664,1660,172,176,180,1660,1664,1660,1664,172,176,180
-345,1,-352,1,-1+1w,-344,1660,1664,1660,1664,180,176,172,1664,1660,1664,1660,180,176,172
-345,3,-88,3,-2+1w,-114,260,258,260,258,42,44,46,258,260,258,260,42,44,46
-345,3,-88,3,-1+2w,-114,258,260,258,260,46,44,42,260,258,260,258,46,44,42
-346,1,-688,1,0,-346,3138,3138,3138,3138,344,344,344,3138,3138,3138,3138,344,344,344
